,date,code,name,weight
0,2018-02-27,600000,浦发银行,1.26
1,2018-02-27,600008,首创股份,0.1
2,2018-02-27,600009,上海机场,0.41
3,2018-02-27,600010,包钢股份,0.27
4,2018-02-27,600011,华能国际,0.22
5,2018-02-27,600015,华夏银行,0.51
6,2018-02-27,600016,民生银行,1.72
7,2018-02-27,600018,上港集团,0.19
8,2018-02-27,600019,宝钢股份,0.76
9,2018-02-27,600021,上海电力,0.07
10,2018-02-27,600023,浙能电力,0.19
11,2018-02-27,600028,中国石化,0.58
12,2018-02-27,600029,南方航空,0.36
13,2018-02-27,600030,中信证券,1.22
14,2018-02-27,600031,三一重工,0.33
15,2018-02-27,600036,招商银行,2.7
16,2018-02-27,600038,中直股份,0.08
17,2018-02-27,600048,保利地产,0.87
18,2018-02-27,600050,中国联通,0.5
19,2018-02-27,600061,国投资本,0.09
20,2018-02-27,600066,宇通客车,0.27
21,2018-02-27,600068,葛洲坝,0.22
22,2018-02-27,600074,ST保千里,0.02
23,2018-02-27,600085,同仁堂,0.15
24,2018-02-27,600089,特变电工,0.28
25,2018-02-27,600100,同方股份,0.16
26,2018-02-27,600104,上汽集团,1.02
27,2018-02-27,600109,国金证券,0.15
28,2018-02-27,600111,北方稀土,0.24
29,2018-02-27,600115,东方航空,0.27
30,2018-02-27,600118,中国卫星,0.11
31,2018-02-27,600153,建发股份,0.15
32,2018-02-27,600157,永泰能源,0.18
33,2018-02-27,600170,上海建工,0.14
34,2018-02-27,600177,雅戈尔,0.19
35,2018-02-27,600188,兖州煤业,0.05
36,2018-02-27,600196,复星医药,0.34
37,2018-02-27,600208,新湖中宝,0.16
38,2018-02-27,600219,南山铝业,0.16
39,2018-02-27,600221,海航控股,0.32
40,2018-02-27,600233,圆通速递,0.05
41,2018-02-27,600271,航天信息,0.19
42,2018-02-27,600276,恒瑞医药,1.05
43,2018-02-27,600297,广汇汽车,0.15
44,2018-02-27,600309,万华化学,0.42
45,2018-02-27,600332,白云山,0.12
46,2018-02-27,600340,华夏幸福,0.38
47,2018-02-27,600352,浙江龙盛,0.24
48,2018-02-27,600362,江西铜业,0.16
49,2018-02-27,600369,西南证券,0.11
50,2018-02-27,600372,中航电子,0.06
51,2018-02-27,600373,中文传媒,0.08
52,2018-02-27,600376,首开股份,0.1
53,2018-02-27,600383,金地集团,0.24
54,2018-02-27,600390,五矿资本,0.03
55,2018-02-27,600406,国电南瑞,0.24
56,2018-02-27,600415,小商品城,0.12
57,2018-02-27,600436,片仔癀,0.19
58,2018-02-27,600482,中国动力,0.18
59,2018-02-27,600485,信威集团,0.22
60,2018-02-27,600489,中金黄金,0.13
61,2018-02-27,600498,烽火通信,0.13
62,2018-02-27,600518,康美药业,0.53
63,2018-02-27,600519,贵州茅台,3.14
64,2018-02-27,600522,中天科技,0.23
65,2018-02-27,600535,天士力,0.19
66,2018-02-27,600547,山东黄金,0.17
67,2018-02-27,600549,厦门钨业,0.09
68,2018-02-27,600570,恒生电子,0.2
69,2018-02-27,600583,海油工程,0.12
70,2018-02-27,600585,海螺水泥,0.56
71,2018-02-27,600588,用友网络,0.19
72,2018-02-27,600606,绿地控股,0.23
73,2018-02-27,600637,东方明珠,0.17
74,2018-02-27,600649,城投控股,0.09
75,2018-02-27,600660,福耀玻璃,0.32
76,2018-02-27,600663,陆家嘴,0.12
77,2018-02-27,600674,川投能源,0.17
78,2018-02-27,600682,南京新百,0.13
79,2018-02-27,600685,中船防务,0.07
80,2018-02-27,600688,上海石化,0.07
81,2018-02-27,600690,青岛海尔,0.51
82,2018-02-27,600703,三安光电,0.53
83,2018-02-27,600704,物产中大,0.1
84,2018-02-27,600705,中航资本,0.21
85,2018-02-27,600739,辽宁成大,0.18
86,2018-02-27,600741,华域汽车,0.36
87,2018-02-27,600795,国电电力,0.3
88,2018-02-27,600804,鹏博士,0.15
89,2018-02-27,600816,安信信托,0.2
90,2018-02-27,600820,隧道股份,0.12
91,2018-02-27,600827,百联股份,0.08
92,2018-02-27,600837,海通证券,0.84
93,2018-02-27,600871,*ST油服,0.04
94,2018-02-27,600886,国投电力,0.24
95,2018-02-27,600887,伊利股份,1.73
96,2018-02-27,600893,航发动力,0.2
97,2018-02-27,600895,张江高科,0.08
98,2018-02-27,600900,长江电力,0.92
99,2018-02-27,600909,华安证券,0.07
100,2018-02-27,600919,江苏银行,0.44
101,2018-02-27,600926,杭州银行,0.04
102,2018-02-27,600958,东方证券,0.34
103,2018-02-27,600959,江苏有线,0.1
104,2018-02-27,600977,中国电影,0.11
105,2018-02-27,600999,招商证券,0.34
106,2018-02-27,601006,大秦铁路,0.48
107,2018-02-27,601009,南京银行,0.39
108,2018-02-27,601012,隆基股份,0.41
109,2018-02-27,601018,宁波港,0.18
110,2018-02-27,601021,春秋航空,0.08
111,2018-02-27,601088,中国神华,0.41
112,2018-02-27,601099,太平洋,0.18
113,2018-02-27,601111,中国国航,0.24
114,2018-02-27,601117,中国化学,0.11
115,2018-02-27,601118,海南橡胶,0.06
116,2018-02-27,601155,新城控股,0.25
117,2018-02-27,601163,三角轮胎,0.04
118,2018-02-27,601166,兴业银行,1.91
119,2018-02-27,601169,北京银行,0.92
120,2018-02-27,601186,中国铁建,0.41
121,2018-02-27,601198,东兴证券,0.13
122,2018-02-27,601211,国泰君安,0.57
123,2018-02-27,601212,白银有色,0.04
124,2018-02-27,601216,君正集团,0.14
125,2018-02-27,601225,陕西煤业,0.3
126,2018-02-27,601228,广州港,0.04
127,2018-02-27,601229,上海银行,0.11
128,2018-02-27,601288,农业银行,1.36
129,2018-02-27,601318,中国平安,6.4
130,2018-02-27,601328,交通银行,1.53
131,2018-02-27,601333,广深铁路,0.14
132,2018-02-27,601336,新华保险,0.38
133,2018-02-27,601375,中原证券,0.04
134,2018-02-27,601377,兴业证券,0.27
135,2018-02-27,601390,中国中铁,0.36
136,2018-02-27,601398,工商银行,1.24
137,2018-02-27,601555,东吴证券,0.17
138,2018-02-27,601600,中国铝业,0.37
