	code	name	pe	roe
600009	600009	上海机场	24.93	14.65
600018	600018	上港集团	14.28	16.6
600029	600029	南方航空	17.25	11.92
600036	600036	招商银行	10.54	14.6
600068	600068	葛洲坝	11.55	11.41
600104	600104	上汽集团	11.71	15.27
600188	600188	兖州煤业	9.77	12.32
600271	600271	航天信息	27.51	15.18
600309	600309	万华化学	8.95	40.81
600332	600332	白云山	22.91	10.92
600373	600373	中文传媒	14.47	11.9
600585	600585	海螺水泥	10.73	17.73
600660	600660	福耀玻璃	19.11	16.57
600688	600688	上海石化	10.61	21.73
600705	600705	中航资本	17.25	11.96
600741	600741	华域汽车	11.62	15.87
600816	600816	安信信托	14.46	22.65
600886	600886	国投电力	14.82	10.57
601012	601012	隆基股份	22.52	25.11
601088	601088	中国神华	9.33	14.93
601155	601155	新城控股	13.1	29.23
601186	601186	中国铁建	9.42	10.74
601225	601225	陕西煤业	7.09	23.62
601288	601288	农业银行	6.67	13.52
601318	601318	中国平安	13.62	18.82
601328	601328	交通银行	6.41	10.46
601398	601398	工商银行	7.59	13.44
601607	601607	上海医药	19.59	10.34
601628	601628	中国人寿	22.55	10.04
601633	601633	长城汽车	20.68	10.23
601688	601688	华泰证券	19.55	10.62
601818	601818	光大银行	6.35	10.35
601899	601899	紫金矿业	28.89	10.02
601939	601939	建设银行	7.92	13.61
601988	601988	中国银行	6.05	11.52
601998	601998	中信银行	7.46	10.65
000001	000001	平安银行	8.18	10.44
000002	000002	万科A	13.44	21.14
000063	000063	中兴通讯	27.39	14.43
000338	000338	潍柴动力	10.75	19.32
000402	000402	金融街	9.88	10.17
000423	000423	东阿阿胶	19.5	20.76
000559	000559	万向钱潮	27.81	17.45
000776	000776	广发证券	14.52	10.12
000895	000895	双汇发展	19.46	29.54
000898	000898	鞍钢股份	7.82	11.21
001979	001979	招商蛇口	14.32	17.87
002202	002202	金风科技	20.69	13.46
002241	002241	歌尔股份	24.0	14.36
002624	002624	完美世界	29.45	18.89
002714	002714	牧原股份	22.27	18.57
300144	300144	宋城演艺	27.78	14.56
